Unnamed: 0,Price,Address,Surface,chambres,toilettes,Surface_per_room,Year_of_Construction,State
506,1391500,Malabata,121,3,2,40.33333333,moins de 5 ans,normal
507,3500000,Moujahidine,220,3,2,73.33333333,construction neuve,Luxe
508,270000,Achakar,50,2,1,25,plus de 5 ans,simple
509,2600000,Iberie,300,4,2,75,construction neuve,Luxe
511,570000,Tanja Balia,70,2,1,35,plus de 5 ans,simple
513,900000,Ahlane,90,2,1,45,moins de 5 ans,normal
516,920000,Tanja Balia,80,2,1,40,moins de 5 ans,normal
519,984000,Malabata,82,2,1,41,moins de 5 ans,normal
520,2400000,Moujahidine,161,3,2,53.66666667,construction neuve,Luxe
522,870000,Tanja Balia,100,2,1,50,moins de 5 ans,normal
524,430000,Mghogha,67,2,1,33.5,plus de 5 ans,simple
526,600000,Tanja Balia,100,2,1,50,moins de 5 ans,normal
527,750000,Mesnana,75,2,1,37.5,moins de 5 ans,normal
528,730000,Moujahidine,79,2,1,39.5,moins de 5 ans,normal
530,943000,Malabata,82,2,1,41,moins de 5 ans,normal
531,1104000,Malabata,96,2,1,48,moins de 5 ans,normal
532,650000,Tanja Balia,200,3,2,66.66666667,moins de 5 ans,normal
533,1100000,Tanja Balia,200,3,2,66.66666667,moins de 5 ans,normal
534,950000,Malabata,200,3,2,66.66666667,moins de 5 ans,normal
535,570000,Drissia,51,2,1,25.5,plus de 5 ans,simple
536,560000,Val Fleuri,200,3,2,66.66666667,plus de 5 ans,simple
538,450000,Mghogha,70,2,1,35,plus de 5 ans,simple
539,1600000,Souani,82,2,1,41,construction neuve,Luxe
540,800000,Moujahidine,150,3,2,50,moins de 5 ans,normal
542,1000000,Tanja Balia,200,3,2,66.66666667,moins de 5 ans,normal
543,630000,Moujahidine,100,2,1,50,moins de 5 ans,normal
545,1207500,Castilla,200,3,2,66.66666667,moins de 5 ans,normal
546,870000,Mesnana,55,2,1,27.5,moins de 5 ans,normal
547,360000,Achakar,100,2,1,50,plus de 5 ans,simple
548,1176000,Malabata,98,2,1,49,moins de 5 ans,normal
550,2750000,Achakar,155,3,2,51.66666667,construction neuve,Luxe
551,600000,Val Fleuri,100,2,1,50,moins de 5 ans,normal
552,1450000,El Mers 2,70,2,1,35,moins de 5 ans,normal
553,1450000,El Mers 2,70,2,1,35,moins de 5 ans,normal
554,420000,Mghogha,60,2,1,30,plus de 5 ans,simple
555,1370000,Tanja Balia,92,2,1,46,moins de 5 ans,normal
556,2800000,Malabata,105,3,2,35,construction neuve,Luxe
558,210000,Mghogha,51,2,1,25.5,plus de 5 ans,simple
559,1200000,Casabarata,100,2,1,50,moins de 5 ans,normal
561,3500000,Branes 2,100,2,1,50,construction neuve,Luxe
562,3500000,Branes 2,100,2,1,50,construction neuve,Luxe
563,470000,Tanja Balia,57,2,1,28.5,plus de 5 ans,simple
564,350000,Mghogha,50,2,1,25,plus de 5 ans,simple
565,3500000,Branes 2,136,3,2,45.33333333,construction neuve,Luxe
566,970000,Branes 2,74,2,1,37,moins de 5 ans,normal
567,1100000,Mesnana,90,2,1,45,moins de 5 ans,normal
568,1196000,Malabata,104,3,2,34.66666667,moins de 5 ans,normal
569,300000,Achakar,57,2,1,28.5,plus de 5 ans,simple
571,750000,Mesnana,97,2,1,48.5,moins de 5 ans,normal
572,300000,Ben Dibane,50,2,1,25,plus de 5 ans,simple
573,500000,Mesnana,60,2,1,30,plus de 5 ans,simple
574,1248000,Tanja Balia,104,3,2,34.66666667,moins de 5 ans,normal
575,650000,Ahlane,100,2,1,50,moins de 5 ans,normal
576,800000,El Mers 1,70,2,1,35,moins de 5 ans,normal
577,1196000,Malabata,104,3,2,34.66666667,moins de 5 ans,normal
578,430000,Mghogha,70,2,1,35,plus de 5 ans,simple
579,750000,Achakar,300,4,2,75,moins de 5 ans,normal
580,440000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
582,490000,Mesnana,55,2,1,27.5,plus de 5 ans,simple
583,850000,Ben Dibane,50,2,1,25,moins de 5 ans,normal
584,450000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
585,340000,Mesnana,52,2,1,26,plus de 5 ans,simple
586,3200000,Iberie,187,3,2,62.33333333,construction neuve,Luxe
587,600000,Tanja Balia,100,2,1,50,moins de 5 ans,normal
588,360000,Tanja Balia,50,2,1,25,plus de 5 ans,simple
589,920000,Malabata,80,2,1,40,moins de 5 ans,normal
591,440000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
592,750000,Mghogha,200,3,2,66.66666667,moins de 5 ans,normal
593,440000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
594,1250000,Tanja Balia,90,2,1,45,moins de 5 ans,normal
595,1200000,Tanja Balia,90,2,1,45,moins de 5 ans,normal
596,920000,Tanja Balia,81,2,1,40.5,moins de 5 ans,normal
597,440000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
599,400000,Tanja Balia,58,2,1,29,plus de 5 ans,simple
600,1000000,Malabata,300,4,2,75,moins de 5 ans,normal
601,440000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
602,1000000,Mesnana,112,3,2,37.33333333,moins de 5 ans,normal
605,440000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
606,540000,Val Fleuri,57,2,1,28.5,plus de 5 ans,simple
607,720000,Mesnana,65,2,1,32.5,moins de 5 ans,normal
609,440000,Malabata,54,2,1,27,plus de 5 ans,simple
610,2600000,Val Fleuri,235,3,2,78.33333333,construction neuve,Luxe
611,931500,Tanja Balia,81,2,1,40.5,moins de 5 ans,normal
612,440000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
613,2150000,Malabata,250,3,2,83.33333333,construction neuve,Luxe
615,960000,Tanja Balia,81,2,1,40.5,moins de 5 ans,normal
616,450000,Tanja Balia,200,3,2,66.66666667,plus de 5 ans,simple
617,2600000,Achakar,160,3,2,53.33333333,construction neuve,Luxe
618,1370000,Malabata,200,3,2,66.66666667,moins de 5 ans,normal
619,3368000,Mesnana,220,3,2,73.33333333,construction neuve,Luxe
620,1050000,Mesnana,138,3,2,46,moins de 5 ans,normal
621,450000,Tanja Balia,54,2,1,27,plus de 5 ans,simple
622,580000,Ahlane,80,2,1,40,moins de 5 ans,normal
623,670000,Mesnana,100,2,1,50,moins de 5 ans,normal
624,960000,Tanja Balia,200,3,2,66.66666667,moins de 5 ans,normal
625,760000,Malabata,200,3,2,66.66666667,moins de 5 ans,normal
626,640000,Ahlane,84,2,1,42,moins de 5 ans,normal
627,960000,Tanja Balia,80,2,1,40,moins de 5 ans,normal
628,450000,Tanja Balia,55,2,1,27.5,plus de 5 ans,simple
629,265000,Achakar,55,2,1,27.5,plus de 5 ans,simple
